,file,speaker,dialog
0,Ses04F_impro01,Ses04F_impro01_F000,"Hi. Um, excuse me I've been to, like, five of the desks here and nobody seems to be able to tell me what it is I need to do. I've been here for over an hour. Can you possibly help me?"
1,Ses04F_impro01,Ses04F_impro01_M000,"Uh, lets- What do you need exactly?"
2,Ses04F_impro01,Ses04F_impro01_F001,Well I filled out all the forms and I've given them to everyone and they keep sending me to someone else.
3,Ses04F_impro01,Ses04F_impro01_M001,"You need a new license, is that what you're telling me?"
4,Ses04F_impro01,Ses04F_impro01_F002,Yes. I'm just trying to get a new license.
5,Ses04F_impro01,Ses04F_impro01_M002,Let me see the form. Just let me see the form. Yeah. You filled this out wrong. I can't - I can't - I can't do anything with this.
6,Ses04F_impro01,F,you go.
7,Ses04F_impro01,Ses04F_impro01_F003,Okay. I did-
8,Ses04F_impro01,Ses04F_impro01_M003,Ma'am I cannot help you. You need to fill out a new form and you need to get in the back of the line.
9,Ses04F_impro01,Ses04F_impro01_F004,I did exactly what they told me to do.
10,Ses04F_impro01,Ses04F_impro01_F005,I have done everything everyone in this entire place has told me to do. I've been here for over an hour. They make me wait in line. Every single time I start over again.
11,Ses04F_impro01,Ses04F_impro01_M004,Ma'am I can't help you. Do you understand?
12,Ses04F_impro01,Ses04F_impro01_F006,I have a life. I have things to do. I have places to go. Can you not just put this through please?
13,Ses04F_impro01,Ses04F_impro01_M005,I've got a life too ma'am
14,Ses04F_impro01,Ses04F_impro01_M006,and I got to - i got to work here all day long. Okay. I've got to deal with you people all day.
15,Ses04F_impro01,Ses04F_impro01_M007,So what I need you to do is I need you to fill out this form correctly and go to the back of the line.
16,Ses04F_impro01,Ses04F_impro01_F007,"Okay, that's nice. That's nice but I have done everything you people have told me to do. I don't understand why you can't just help me get this done. It's simple, right? License. I need it. Can we just do this please?"
17,Ses04F_impro01,Ses04F_impro01_M008,There's nothing I can do for you. Do you understand that? Nothing.
18,Ses04F_impro01,Ses04F_impro01_M009,"What I need you to do is go to the back of the line,"
19,Ses04F_impro01,Ses04F_impro01_F008,I've been to the back of the line five times.
20,Ses04F_impro01,Ses04F_impro01_M010,fill out this form and wait
21,Ses04F_impro01,Ses04F_impro01_M011,You're going to have to go back again.
22,Ses04F_impro01,Ses04F_impro01_F009,Okay. What is it that I did wrong on the form that I have to start all over again?
23,Ses04F_impro01,Ses04F_impro01_M012,This whole area here you didn't initial
24,Ses04F_impro01,Ses04F_impro01_M013,and you filled out-
25,Ses04F_impro01,Ses04F_impro01_F010,"Okay. Well, I can do that right here right now without going to the back of the line again. See look initialed. All done. Ready to go."
26,Ses04F_impro01,Ses04F_impro01_M014,Ma'am I have other people waiting in line right now. I have other people waiting in line right now.
27,Ses04F_impro01,Ses04F_impro01_F011,I have been waiting for over an hour.
28,Ses04F_impro01,Ses04F_impro01_M015,This whole area of the form was not supposed to be filled out and you put the address in the wrong place
29,Ses04F_impro01,Ses04F_impro01_M016,"Uhh, and you spelled your own name wrong. So I need you to take that"
